"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","TC-03: Validate Tag selection","firefox","Thu May 28 11:34:31 UTC 2026","failed","Thu May 28 11:34:31 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-08: Verify Preview mode","webkit","Thu May 28 11:34:43 UTC 2026","failed","Thu May 28 11:34:43 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","has title","webkit","Thu May 28 11:34:45 UTC 2026","failed","Thu May 28 11:34:45 UTC 2026","","example.spec.ts","",""
"","2","TC-05: Validate Main Text field limits","webkit","Thu May 28 11:34:41 UTC 2026","failed","Thu May 28 11:34:41 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-01: Verify all required fields are displayed","chromium","Thu May 28 11:34:22 UTC 2026","failed","Thu May 28 11:34:22 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","get started link","chromium","Thu May 28 11:34:29 UTC 2026","failed","Thu May 28 11:34:29 UTC 2026","","example.spec.ts","",""
"","2","has title","chromium","Thu May 28 11:34:29 UTC 2026","failed","Thu May 28 11:34:29 UTC 2026","","example.spec.ts","",""
"","2","TC-07: Cancel news creation","webkit","Thu May 28 11:34:42 UTC 2026","failed","Thu May 28 11:34:42 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-04: Validate Image upload","chromium","Thu May 28 11:34:24 UTC 2026","failed","Thu May 28 11:34:24 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-02: Validate Title field and Publish button state","chromium","Thu May 28 11:34:22 UTC 2026","failed","Thu May 28 11:34:22 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-09: Verify Edit news button visibility (only for author)","firefox","Thu May 28 11:34:35 UTC 2026","failed","Thu May 28 11:34:35 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-06: Validate Source field","firefox","Thu May 28 11:34:33 UTC 2026","failed","Thu May 28 11:34:33 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-04: Validate Image upload","webkit","Thu May 28 11:34:40 UTC 2026","failed","Thu May 28 11:34:40 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-04: Validate Image upload","firefox","Thu May 28 11:34:32 UTC 2026","failed","Thu May 28 11:34:32 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-03: Validate Tag selection","webkit","Thu May 28 11:34:39 UTC 2026","failed","Thu May 28 11:34:39 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-10: Verify editing own news","firefox","Thu May 28 11:34:36 UTC 2026","failed","Thu May 28 11:34:36 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-06: Validate Source field","webkit","Thu May 28 11:34:41 UTC 2026","failed","Thu May 28 11:34:41 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-09: Verify Edit news button visibility (only for author)","chromium","Thu May 28 11:34:27 UTC 2026","failed","Thu May 28 11:34:27 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-07: Cancel news creation","firefox","Thu May 28 11:34:34 UTC 2026","failed","Thu May 28 11:34:34 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-01: Verify all required fields are displayed","webkit","Thu May 28 11:34:38 UTC 2026","failed","Thu May 28 11:34:38 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-10: Verify editing own news","chromium","Thu May 28 11:34:28 UTC 2026","failed","Thu May 28 11:34:28 UTC 2026","Create Eco News","eco-news.spec.ts","",""
"","2","TC-03: Validate Tag selection","chromium","Thu May 28 11:34:23 UTC 2026","failed","Thu May 28 11:34:23 UTC 2026","Create Eco News","eco-news.spec.ts","",""
